Person_ID,Age,Gender,Occupation,Monthly_Income,City_Type,Travel_Distance,Travel_Time,Fuel_Cost,Vehicle_Ownership,Preferred_Transport_Mode,Purpose_of_Travel,Satisfaction_Score
1,49,Female,Employee,4907,Semi-Urban,2.6377425621893,6,0.76,Yes,Train,Work,6.9
2,39,Female,Employee,6148,Urban,16.9143209182428,31,4.74,No,Bus,Work,6.7
3,51,Female,Employee,9161,Urban,20.2476449777503,43,0.0,Yes,Metro,Education,8.2
4,64,Male,Employee,7978,Semi-Urban,35.9449667836781,76,4.0,Yes,Car,Leisure,7.8
5,38,Male,Business,5685,Rural,48.5818378583848,97,6.4,Yes,Car,Others,6.6
6,38,Female,Self-Employed,5246,Semi-Urban,22.9318607795887,47,2.77,No,Bike,Work,5.1
7,65,Female,Retired,2168,Rural,63.0995958782767,126,9.27,Yes,Car,Leisure,5.3
8,53,Female,Employee,8191,Semi-Urban,60.1727806834836,117,4.23,Yes,Bus,Work,2.8
9,34,Female,Business,8156,Urban,1.0,5,0.0,Yes,Bus,Shopping,6.1
10,50,Male,Employee,9564,Urban,14.3799904896982,21,3.09,No,Bike,Work,8.7
11,35,Male,Employee,7244,Semi-Urban,20.4447747587959,48,0.0,Yes,Car,Work,8.3
12,35,Male,Employee,5270,Urban,3.07627204756918,5,1.99,Yes,Car,Leisure,8.0
13,45,Male,Employee,7573,Urban,5.96019303372467,5,1.61,Yes,Bus,Shopping,7.3
14,18,Male,Employee,3210,Urban,18.0373828454752,38,3.65,Yes,Metro,Work,6.9
15,18,Female,Employee,3850,Urban,18.2396975807293,38,1.25,Yes,Bus,Work,5.4
16,33,Male,Employee,4757,Rural,79.205755223496,149,10.52,Yes,Car,Shopping,6.0
17,26,Male,Employee,5749,Urban,15.0702523771636,25,0.0,Yes,Car,Leisure,7.0
18,46,Male,Employee,8749,Urban,1.0,5,0.0,No,Metro,Shopping,7.7
19,28,Female,Employee,5997,Semi-Urban,31.4274568643604,59,3.84,Yes,Car,Work,7.3
20,20,Female,Business,9265,Semi-Urban,14.2043139167632,34,0.0,Yes,Train,Shopping,8.1
21,63,Female,Business,15719,Semi-Urban,16.8980617036699,33,2.46,Yes,Car,Education,10.0
22,38,Female,Employee,6626,Rural,61.6111811681299,121,5.1,No,Walk,Shopping,6.6
23,43,Male,Business,6532,Semi-Urban,37.9127135839163,81,5.09,Yes,Car,Work,6.0
24,20,Female,Employee,6551,Semi-Urban,43.8134839315299,90,8.74,Yes,Car,Shopping,6.9
25,33,Male,Business,13863,Urban,12.1400572218261,15,0.0,Yes,Car,Leisure,8.0
26,43,Male,Employee,5949,Urban,21.3242365074028,39,2.51,No,Metro,Leisure,5.4
27,24,Female,Student,1314,Semi-Urban,28.7989565256483,59,0.22,No,Train,Work,6.7
28,47,Female,Business,12387,Semi-Urban,51.7502424911337,98,4.54,No,Bus,Leisure,6.8
29,32,Male,Employee,6026,Rural,56.8927787894308,123,8.23,Yes,Car,Leisure,6.8
30,37,Male,Self-Employed,5096,Semi-Urban,31.8950469427307,64,2.97,No,Bike,Leisure,6.0
31,32,Female,Business,4549,Semi-Urban,38.1813956626414,72,6.07,Yes,Car,Leisure,6.7
32,69,Male,Self-Employed,6111,Urban,14.8571143922006,24,2.49,Yes,Car,Education,6.8
33,41,Male,Employee,6927,Urban,27.7688521225033,60,3.2,Yes,Metro,Work,7.2
34,26,Male,Self-Employed,6951,Urban,16.9635009806303,30,0.0,Yes,Metro,Shopping,8.8
35,54,Male,Employee,7923,Urban,14.9870986208439,31,3.17,Yes,Bus,Shopping,6.7
36,23,Female,Business,6136,Urban,13.0920731435936,20,2.18,No,Bus,Work,5.0
37,45,Male,Employee,7991,Urban,21.74547375396,43,0.0,No,Bike,Leisure,6.4
38,18,Male,Employee,3898,Semi-Urban,45.6187000858025,88,3.55,Yes,Car,Work,7.7
39,22,Female,Employee,3502,Semi-Urban,30.8923755453105,60,0.0,Yes,Car,Shopping,7.5
40,44,Female,Employee,6129,Semi-Urban,17.6653772806578,31,0.0,No,Bike,Work,7.1
41,53,Male,Employee,4681,Urban,7.78425489297317,20,0.31,Yes,Bus,Others,4.8
42,44,Male,Self-Employed,5135,Urban,13.5266996836624,24,0.0,No,Bus,Leisure,6.1
43,40,Male,Employee,7032,Rural,76.9785501223816,153,7.57,No,Bike,Work,4.8
44,37,Female,Business,10069,Urban,12.9985869660246,25,4.34,Yes,Car,Shopping,8.7
45,19,Female,Student,2260,Rural,38.1175278006887,84,6.63,Yes,Car,Leisure,5.8
46,31,Female,Business,7361,Urban,1.0,6,0.0,Yes,Car,Leisure,7.4
47,35,Female,Business,10211,Semi-Urban,57.7031215340344,119,8.51,No,Bus,Work,5.9
48,57,Female,Employee,8889,Urban,19.5522251678516,31,4.78,No,Walk,Work,6.3
49,47,Female,Employee,10214,Urban,21.3680797600468,39,3.8,Yes,Car,Shopping,8.4
50,18,Female,Employee,4017,Urban,22.693504415435,51,3.32,Yes,Car,Leisure,5.5
51,46,Male,Employee,5033,Semi-Urban,32.5290465686155,59,6.1,Yes,Train,Work,8.1
52,36,Other,Employee,6871,Urban,15.6767250699802,31,3.42,No,Bus,Work,4.0
53,31,Male,Business,13747,Semi-Urban,57.3290291292799,109,4.45,Yes,Car,Leisure,8.7
54,51,Male,Employee,6616,Urban,16.436647114553,28,1.59,Yes,Metro,Work,7.2
55,57,Female,Employee,8961,Urban,19.7002023205119,47,1.26,No,Walk,Work,5.7
56,55,Male,Business,15436,Rural,67.4110143440102,138,10.39,Yes,Car,Work,8.1
57,29,Female,Employee,6425,Rural,62.8586266484528,130,6.38,Yes,Car,Leisure,7.4
58,37,Female,Employee,5888,Semi-Urban,33.0774624460025,70,2.46,Yes,Car,Work,8.1
59,46,Male,Employee,5552,Urban,14.7289292574886,28,3.82,No,Bus,Education,7.0
60,56,Female,Employee,7478,Urban,21.2211235038075,38,3.07,Yes,Car,Work,7.1
61,34,Male,Business,9975,Rural,65.5200571986945,129,12.09,Yes,Car,Leisure,7.4
62,39,Male,Business,12074,Urban,24.3458607921556,47,1.2,Yes,Metro,Leisure,6.9
63,25,Female,Employee,5000,Semi-Urban,43.2664547496475,95,4.15,No,Train,Shopping,6.9
64,24,Female,Student,1310,Urban,19.7728449087364,32,4.62,No,Bus,Leisure,5.6
65,54,Female,Employee,8233,Rural,41.075332664311,79,2.37,No,Walk,Leisure,6.2
66,62,Male,Employee,9490,Urban,10.3508039114247,16,3.88,Yes,Car,Leisure,6.8
67,40,Female,Self-Employed,6259,Urban,21.2450453948119,47,0.13,Yes,Metro,Education,7.0
68,57,Male,Employee,6445,Semi-Urban,26.3872239797543,62,4.39,Yes,Car,Work,8.9
69,47,Female,Employee,6427,Rural,49.5859799376627,100,2.26,Yes,Car,Work,7.3
70,32,Male,Employee,6621,Rural,77.5804648194258,157,9.4,Yes,Car,Work,6.1
71,47,Female,Business,6400,Semi-Urban,53.3085543851763,107,3.66,Yes,Car,Leisure,6.8
72,65,Male,Retired,906,Semi-Urban,39.5268324619577,81,8.6,Yes,Car,Shopping,6.7
73,41,Male,Business,14174,Semi-Urban,30.5579063024943,64,1.52,Yes,Bus,Work,5.8
74,65,Female,Self-Employed,6522,Semi-Urban,33.1493163448474,68,2.32,Yes,Car,Leisure,6.1
75,18,Female,Student,1803,Rural,67.3532028211122,137,9.15,Yes,Car,Education,5.3
76,54,Female,Employee,5784,Urban,14.7080057804306,33,0.56,Yes,Metro,Leisure,7.1
77,43,Female,Employee,7406,Semi-Urban,26.625764104846,44,4.59,Yes,Car,Work,9.1
78,37,Female,Business,9875,Semi-Urban,53.2366213461196,106,4.97,Yes,Car,Work,7.5
79,43,Female,Business,5197,Semi-Urban,37.7240020869392,76,2.95,Yes,Car,Work,6.6
80,18,Male,Employee,5936,Rural,38.454883580165,78,4.56,Yes,Car,Shopping,7.2
81,38,Female,Business,9676,Urban,18.831521511461,36,0.0,Yes,Bus,Work,5.0
82,47,Male,Business,9361,Urban,22.76974730554,46,3.53,Yes,Bus,Leisure,5.7
83,64,Female,Self-Employed,4744,Urban,6.93861548169791,10,2.59,Yes,Car,Shopping,7.0
84,34,Female,Employee,2377,Urban,13.3963686931765,17,2.71,Yes,Car,Leisure,6.4
85,29,Female,Business,9630,Urban,13.0265330592927,30,2.85,No,Bus,Education,7.6
86,34,Female,Employee,5792,Rural,59.0457433156695,112,3.24,Yes,Car,Education,7.3
87,55,Female,Business,11167,Semi-Urban,44.4801248428978,88,4.41,Yes,Car,Leisure,6.8
88,46,Female,Self-Employed,8056,Rural,38.9705217744102,74,4.22,Yes,Car,Education,6.5
89,34,Male,Employee,3324,Urban,3.0579905927518,14,3.28,Yes,Metro,Leisure,6.4
90,49,Female,Business,9059,Rural,70.635975091988,140,7.31,Yes,Car,Leisure,6.8
91,43,Male,Business,7399,Semi-Urban,18.2008209413418,34,0.0,Yes,Car,Leisure,7.9
92,56,Female,Employee,7181,Urban,17.169473640351,38,0.05,Yes,Car,Others,8.0
93,31,Male,Employee,5201,Semi-Urban,33.0202865190397,76,2.64,No,Train,Shopping,6.2
94,37,Male,Employee,6345,Rural,53.2488781040815,108,2.08,No,Bus,Leisure,5.2
95,36,Male,Self-Employed,4806,Urban,28.2098717736548,54,5.32,No,Bike,Education,5.6
96,20,Male,Employee,2683,Semi-Urban,80.5742242043274,164,6.53,Yes,Car,Leisure,6.8
97,46,Female,Employee,9129,Rural,17.3312517720278,26,2.97,Yes,Car,Shopping,8.7
98,45,Male,Employee,10117,Urban,22.8712492426633,45,0.56,Yes,Car,Work,6.9
99,42,Female,Employee,6414,Semi-Urban,32.6562834098353,75,6.93,Yes,Car,Leisure,5.7
100,38,Male,Employee,4664,Urban,23.3828361097004,47,2.25,Yes,Metro,Work,7.1
101,20,Female,Student,2237,Urban,22.6581046094333,45,1.76,No,Metro,Education,6.4
102,35,Female,Employee,3329,Semi-Urban,56.1461721079724,112,7.79,Yes,Car,Shopping,5.6
103,36,Female,Employee,5097,Urban,17.2797193213015,32,0.06,Yes,Car,Work,6.8
104,29,Female,Employee,3855,Semi-Urban,21.6563527256746,44,3.75,Yes,Bus,Work,6.1
105,39,Male,Business,5871,Urban,22.4211959096769,48,1.73,No,Bus,Work,4.7
106,48,Female,Self-Employed,4939,Urban,15.9439806091525,30,0.72,No,Walk,Education,7.9
107,70,Male,Business,11407,Semi-Urban,31.492351772988,50,3.6,Yes,Train,Work,7.6
108,44,Female,Business,10137,Urban,11.1902089543603,24,0.0,Yes,Bus,Education,7.3
109,45,Female,Employee,6540,Urban,23.050684552841,56,2.38,No,Metro,Leisure,6.9
110,40,Male,Employee,5068,Semi-Urban,59.0505423801106,116,7.77,No,Bike,Shopping,3.9
111,18,Female,Student,1314,Rural,26.0929488260073,44,0.0,Yes,Car,Work,6.6
112,41,Female,Business,8957,Rural,62.4390448495786,128,9.68,Yes,Car,Leisure,6.1
113,42,Male,Self-Employed,7119,Semi-Urban,29.4141922186603,67,5.16,No,Bike,Work,6.0
114,75,Male,Business,14304,Rural,20.6545520361577,43,0.0,Yes,Car,Education,8.7
115,39,Male,Self-Employed,7149,Rural,52.9541164152601,114,2.33,No,Bus,Others,4.9
116,46,Female,Business,12157,Urban,8.33489775848351,20,2.68,Yes,Metro,Work,8.8
117,41,Female,Employee,6957,Urban,2.37797417759841,8,1.81,No,Metro,Work,8.8
118,24,Male,Student,2193,Urban,8.74607622220372,14,2.3,No,Walk,Work,6.1
119,59,Male,Employee,6220,Urban,6.77780865668917,14,0.0,Yes,Car,Others,7.2
120,53,Female,Employee,6590,Rural,37.0662629387321,73,8.11,Yes,Car,Work,7.6
121,53,Female,Business,16739,Semi-Urban,15.1117388456946,29,0.3,Yes,Train,Work,9.6
122,28,Male,Employee,4414,Semi-Urban,29.0728983706067,56,3.97,Yes,Bus,Leisure,5.4
123,63,Male,Employee,4077,Urban,9.29400697532822,19,1.62,No,Walk,Work,7.5
124,20,Female,Employee,3695,Urban,18.0049110171652,29,5.35,Yes,Car,Work,7.0
125,50,Male,Employee,7202,Urban,19.7483118911865,43,2.62,Yes,Car,Work,8.9
126,74,Male,Retired,500,Rural,55.2029715355688,106,7.46,Yes,Car,Leisure,5.5
127,27,Female,Employee,6700,Urban,13.1164443370119,24,1.42,Yes,Metro,Leisure,8.4
128,33,Female,Employee,4229,Rural,44.7514480861537,91,2.98,Yes,Car,Leisure,6.6
129,43,Male,Business,10935,Urban,8.30340010070907,11,0.0,No,Bus,Work,7.2
130,34,Male,Employee,5061,Semi-Urban,22.8050801088509,35,2.8,No,Bus,Education,4.3
131,18,Male,Employee,1867,Semi-Urban,45.554058021181,89,2.64,Yes,Car,Leisure,8.1
132,43,Male,Self-Employed,3358,Rural,14.8059480269907,22,2.48,Yes,Car,Work,7.5
133,26,Female,Self-Employed,3629,Urban,14.3542004934964,32,2.02,No,Bus,Education,6.5
134,49,Male,Self-Employed,7671,Urban,12.4117675075103,19,1.74,Yes,Bus,Leisure,5.4
135,28,Female,Employee,4578,Urban,19.7930568109991,47,0.27,No,Bus,Others,5.9
136,65,Female,Retired,2478,Rural,21.4997603315529,42,4.65,No,Bike,Leisure,5.3
137,30,Male,Employee,3598,Urban,15.0998456438875,30,2.76,Yes,Car,Shopping,6.4
138,37,Male,Employee,7494,Urban,17.7438747308728,25,0.0,Yes,Car,Shopping,8.9
139,54,Female,Self-Employed,8428,Semi-Urban,6.42903172064007,13,4.91,Yes,Bus,Shopping,6.8
140,23,Female,Employee,6077,Semi-Urban,18.8850804070739,37,1.84,No,Bus,Leisure,6.0
141,45,Female,Employee,7238,Semi-Urban,33.6231522978081,60,1.37,Yes,Bus,Work,6.5
142,61,Male,Employee,8534,Rural,60.282938152686,121,5.72,Yes,Car,Work,6.4
143,18,Female,Student,892,Semi-Urban,37.7374896666905,73,1.51,Yes,Car,Leisure,6.5
144,44,Female,Business,9362,Rural,61.2090850589961,121,10.06,Yes,Car,Education,7.3
145,45,Female,Business,8198,Semi-Urban,18.8094123103901,37,4.42,Yes,Bus,Work,6.5
146,53,Male,Self-Employed,1848,Urban,2.28999720217578,5,1.75,No,Metro,Leisure,8.1
147,23,Female,Business,10121,Rural,51.6901161151357,104,7.31,Yes,Car,Shopping,7.2
148,22,Female,Student,1152,Semi-Urban,16.5597014267882,32,4.48,Yes,Train,Education,6.4
149,49,Male,Employee,8693,Urban,8.07742139161757,18,0.49,Yes,Metro,Leisure,7.6
150,46,Female,Employee,7922,Semi-Urban,48.9841753223956,95,6.72,Yes,Bus,Leisure,5.2
151,45,Male,Employee,7335,Urban,16.5127964541348,27,0.36,Yes,Car,Work,8.7
152,47,Male,Self-Employed,6725,Urban,10.4548407579566,17,0.95,No,Bus,Work,6.3
153,31,Male,Employee,4177,Semi-Urban,24.5295274303855,56,3.84,Yes,Car,Shopping,7.9
154,45,Female,Business,15823,Semi-Urban,44.3138233533374,93,0.0,Yes,Car,Shopping,8.7
155,46,Male,Employee,6664,Semi-Urban,38.1795640347497,82,3.34,Yes,Car,Shopping,6.5
156,31,Male,Employee,5552,Urban,5.28354686141847,16,0.96,Yes,Car,Education,6.5
157,69,Female,Retired,2350,Rural,11.043525337981,19,1.17,Yes,Bike,Work,4.5
158,49,Male,Employee,5503,Urban,30.0544146611212,61,2.7,No,Bus,Shopping,5.0
159,24,Female,Employee,5115,Urban,5.22016619745953,10,1.8,Yes,Metro,Shopping,8.5
160,51,Female,Employee,7426,Urban,19.2215720264009,41,0.89,Yes,Bus,Shopping,7.3
